其它,#genre#
金鹰纪实,http://zdwty.eatuo.com:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://zdwty.eatuo.com:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://zdwty.eatuo.com:808/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://zdwty.eatuo.com:808/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
百视自制,https://bp-caster.bestv.com.cn/723/3/video.m3u8
百视TV4,https://bp-caster.bestv.com.cn/900/3/video.m3u8
百视TV2,https://bp-caster.bestv.com.cn/926/3/video.m3u8
百视TV14,https://bp-caster.bestv.com.cn/934/3/video.m3u8
独家直播,https://bp-caster.bestv.com.cn/936/3/video.m3u8
百视TV11,https://bp-caster.bestv.com.cn/937/3/video.m3u8
百视TV10,https://bp-caster.bestv.com.cn/938/3/video.m3u8
百视TV9,https://bp-caster.bestv.com.cn/939/3/video.m3u8
百视独播3,https://bp-caster.bestv.com.cn/940/3/video.m3u8
百视TV7,https://bp-caster.bestv.com.cn/941/3/video.m3u8
百视TV12,https://bp-caster.bestv.com.cn/943/3/video.m3u8
百视独播4,https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视TV3,https://bp-caster.bestv.com.cn/945/3/video.m3u8
百视独播1,https://bp-caster.bestv.com.cn/946/3/video.m3u8
百视TV6,https://bp-caster.bestv.com.cn/947/3/video.m3u8
百视TV8,https://bp-caster.bestv.com.cn/953/3/video.m3u8
百视TV1,https://bp-caster.bestv.com.cn/954/3/video.m3u8
百视独播2,https://bp-caster.bestv.com.cn/955/3/video.m3u8
百视TV5,https://bp-caster.bestv.com.cn/956/3/video.m3u8
5,https://newcntv.qcloudcdn.com/asp/hls/2000/0303000a/3/default/88060057ad5847ecbaf442df098763e0/2000.m3u8
保定新闻综合,http://111.225.115.9:808/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共频道,http://111.225.115.9:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://111.225.115.9:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://111.225.115.9:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
BTV冬奥纪实高清,http://111.225.115.9:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实高清,http://111.225.115.9:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://111.225.115.9:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://111.225.115.9:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://111.225.115.9:808/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0

央视,#genre#
CCTV11,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV15,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV17,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV1,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV4,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv5hd8m/8000000/mnf.m3u8
CCTV7,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV9,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV14,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV1,http://113.200.53.90:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://113.200.53.90:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.200.53.90:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://113.200.53.90:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://113.200.53.90:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://113.200.53.90:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.52.43.144:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://123.52.43.144:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.52.43.144:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.52.43.144:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.52.43.144:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://123.52.43.144:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://123.52.43.144:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://123.52.43.144:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://123.52.43.144:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://123.52.43.144:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://123.52.43.144:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://123.52.43.144:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://123.52.43.144:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://123.52.43.144:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-高清综合,http://15536746789.x3322.net:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-高清财经,http://15536746789.x3322.net:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://15536746789.x3322.net:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://15536746789.x3322.net:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://15536746789.x3322.net:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影高清,http://15536746789.x3322.net:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-高清军农,http://15536746789.x3322.net:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://15536746789.x3322.net:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-高清纪录,http://15536746789.x3322.net:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-高清科教,http://15536746789.x3322.net:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://15536746789.x3322.net:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-高清社会与法,http://15536746789.x3322.net:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://15536746789.x3322.net:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-高清少儿,http://15536746789.x3322.net:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://15536746789.x3322.net:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.221.240.108:808/hls/01/index.m3u8
CCTV2,http://171.221.240.108:808/hls/02/index.m3u8
CCTV3,http://171.221.240.108:808/hls/03/index.m3u8
CCTV4,http://171.221.240.108:808/hls/04/index.m3u8
CCTV5,http://171.221.240.108:808/hls/05/index.m3u8
CCTV6,http://171.221.240.108:808/hls/06/index.m3u8
CCTV7,http://171.221.240.108:808/hls/07/index.m3u8
CCTV8,http://171.221.240.108:808/hls/08/index.m3u8
CCTV9,http://171.221.240.108:808/hls/09/index.m3u8
CCTV10,http://171.221.240.108:808/hls/10/index.m3u8
CCTV11,http://171.221.240.108:808/hls/11/index.m3u8
CCTV12,http://171.221.240.108:808/hls/12/index.m3u8
CCTV13,http://171.221.240.108:808/hls/13/index.m3u8
CCTV14,http://171.221.240.108:808/hls/14/index.m3u8
CCTV1,http://183.196.33.171:808/hls/1/index.m3u8
CCTV10,http://183.196.33.171:808/hls/10/index.m3u8
CCTV11,http://183.196.33.171:808/hls/11/index.m3u8
CCTV12,http://183.196.33.171:808/hls/12/index.m3u8
CCTV13,http://183.196.33.171:808/hls/13/index.m3u8
CCTV14,http://183.196.33.171:808/hls/14/index.m3u8
CCTV15,http://183.196.33.171:808/hls/15/index.m3u8
CCTV2,http://183.196.33.171:808/hls/2/index.m3u8
CCTV4,http://183.196.33.171:808/hls/4/index.m3u8
CCTV5+,http://183.196.33.171:808/hls/61/index.m3u8
CCTV7,http://183.196.33.171:808/hls/7/index.m3u8
CCTV3,http://183.196.33.171:808/hls/75/index.m3u8
CCTV6,http://183.196.33.171:808/hls/76/index.m3u8
CCTV8,http://183.196.33.171:808/hls/77/index.m3u8
CCTV5,http://183.196.33.171:808/hls/78/index.m3u8
