频道,#genre#
CCTV第一剧场,http://171.118.139.138:8082/rtp/226.0.2.221:9680
CCTV第一剧场,http://183.188.20.245:6001/rtp/226.0.2.221:9680
CCTV风云剧场,http://171.118.139.138:8082/rtp/226.0.2.227:9728
CCTV风云剧场,http://183.188.20.245:6001/rtp/226.0.2.227:9728
IPTV1905,https://gatewaynm.1905.com/api/cachefile/731a409d50dc22deefc083437a7ce70b.m3u8
IPTV【RM-点播】点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
IPTV【三笠】根本不存在解不开的迷！,http://epg.112114.xyz/douyu/7050342
IPTV【天使点播】动漫直播间,http://epg.112114.xyz/douyu/1487654
IPTV【贝爷MAX厅】科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
IPTV【贝爷影厅】经典科幻动作灾难巨兽,http://epg.112114.xyz/douyu/252802
IPTV万年如一柯播南，各位给点电费吧,http://epg.112114.xyz/douyu/1783144
IPTV冰冰经典电影,http://epg.112114.xyz/douyu/74374
IPTV利辛影视,https://live.fst1994.net/hls/lixinys/index.m3u8
IPTV动作影院,http://link.sczhgx.com:28699/hls/62/index.m3u8
IPTV动漫秀场,http://221.226.4.10:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV动漫秀场,http://221.226.4.10:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV动漫秀场,http://49.87.154.246:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV动漫秀场,http://49.87.154.246:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
IPTV华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
IPTV华语经典,http://epg.112114.xyz/douyu/434971
IPTV南平综合,http://117.27.190.42:9901/tsfile/live/23295_1.m3u8?key=txiptv
IPTV可乐电影,http://epg.112114.xyz/douyu/20415
IPTV喜剧影院,http://221.0.78.198:1681/hls/10295/index.m3u8
IPTV国产影片,http://epg.112114.xyz/douyu/5423
IPTV小U电影,http://epg.112114.xyz/douyu/96577
IPTV小宇60帧,http://epg.112114.xyz/douyu/323876
IPTV影视,http://1.85.6.42:8888/newlive/live/hls/56/live.m3u8?type=hsmedia&dnas=iptv.weai.love&chid=56
IPTV斗鱼4K影院,http://159.75.85.63:35455/douyu/9249162
IPTV斗鱼4K影院,http://epg.112114.xyz/douyu/9249162
IPTV电影,http://pull.kktv8.com/livekktv/99350550.flv
IPTV电视剧轮播,http://59.48.75.130:3052/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV神乐影片1,http://epg.112114.xyz/douyu/122402
IPTV神乐影片2,http://epg.112114.xyz/douyu/85894
IPTV豆瓣电影,http://epg.112114.xyz/douyu/8770422
IPTV足球,http://171.221.240.108:808/hls/43/index.m3u8
